FIPS,State,County,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,ForeignBornPct,OwnHomePct,TotalPop2010,UnempRate2010
1077,AL,Lauderdale,48707,27189,17.9,14,138.85,21.55,16.78,85.46,9.91,0.73,0.35,2.25,1.41,2.057568721,68.48418757,92709,10.1
1079,AL,Lawrence,43909,23557,31.4,19.3,49.72,23.19,14.56,76.94,11.41,0.12,5.61,1.67,4.3,0.976756806,79.0960893,34339,12.6
1081,AL,Lee,48937,26960,19.3,19,230.85,22.53,9.07,69.81,22.58,2.58,0.28,3.26,1.61,5.452422357,60.3321375,140247,9
1083,AL,Limestone,64863,27699,15.8,11.4,147.84,23.99,12.31,78.65,12.5,1.1,0.59,5.55,1.77,3.695783003,78.01780489,82782,9.6
1085,AL,Lowndes,33973,19491,39.6,25.1,15.78,24.18,14.65,25.14,73.31,0.12,0.22,0.77,0.53,0.312622118,73.66028708,11299,18.5
1087,AL,Macon,32495,20125,39.7,30.2,35.23,20.6,14.13,15.23,82.19,0.35,0.13,1.08,1.06,1.05489661,65.74571167,21452,14.8
1089,AL,Madison,63755,35526,16.9,11.9,417.68,23.74,12.21,66.14,23.75,2.44,0.7,4.6,2.47,5.473486967,67.22613868,334811,8.3
1091,AL,Marengo,37733,23056,34.5,24,21.52,24.69,16.28,45.69,51.54,0.25,0.15,1.67,0.78,0.445286109,71.22811535,21027,13.7
1093,AL,Marion,37887,21391,27.4,20.2,41.46,21.66,18.34,92.63,3.83,0.17,0.31,2.05,1.11,1.254797263,75.36030134,30776,13.6
1095,AL,Marshall,46233,23833,27.9,18.3,164.39,25,14.9,83.92,1.49,0.51,0.61,12.08,1.68,6.563665983,70.36623109,93019,9.6
1097,AL,Mobile,43598,25215,31.4,20.8,335.92,25.08,12.91,59.06,34.45,1.82,0.86,2.41,1.46,3.279321081,64.8908112,412992,11.3
1099,AL,Monroe,39556,18890,31.6,21.9,22.49,25.32,15.68,54.71,41.53,0.29,1.11,0.95,1.45,0.632205281,60.89090686,23068,18.1
1101,AL,Montgomery,49640,28008,31.3,20.1,292.46,24.49,11.96,38.41,54.47,2.09,0.23,3.62,1.27,4.679189745,58.58073134,229363,10
1103,AL,Morgan,52797,25907,20.1,13.2,206.25,23.96,14.12,77.48,11.77,0.56,0.78,7.66,1.98,4.236832827,72.13775577,119490,10.8
1105,AL,Perry,26814,13678,52.8,35.3,14.72,24.11,16.7,29.67,68.4,0.28,0.16,1.08,0.41,1.507484714,72.75089315,10591,16.8
1107,AL,Pickens,37586,22417,30.8,23.1,22.4,23.3,16.89,55.84,41.37,0.16,0.14,1.59,1.17,3.266331658,73.95750332,19746,13.1
1109,AL,Pike,37259,21137,30.6,23.6,48.95,20.31,12.8,57.41,36.44,1.96,0.56,2.22,1.49,4.296021315,59.27946653,32899,9.4
1111,AL,Randolph,40546,23247,31.4,19.7,39.47,23.89,16.97,75.42,20.09,0.24,0.37,2.83,1.14,1.594755028,73.41200972,22913,13.4
1113,AL,Russell,39104,22055,31.6,21.7,82.58,25.5,12.69,52.11,41.41,0.42,0.36,3.68,2.09,2.544105269,59.81090589,52947,10.9
1115,AL,St. Clair,57284,24861,15,12,132.29,23.72,13.05,87.26,8.49,0.61,0.3,2.05,1.34,1.71694958,78.94131543,83593,10.1
1117,AL,Shelby,75663,36576,8.9,8,248.54,25.61,10.57,80.16,10.56,1.9,0.23,5.93,1.38,5.282565168,79.67265856,195085,7.1
1119,AL,Sumter,27859,15882,48.1,34.7,15.23,22.29,14.99,24.01,74.71,0.24,0.08,0.62,0.34,2.063919908,64.94947494,13763,13.3
1121,AL,Talladega,41630,22498,26.4,19.3,111.69,23.44,14.09,64.5,31.54,0.4,0.28,2.03,1.34,1.726556197,71.29620785,82291,13.5
1123,AL,Tallapoosa,42205,23655,30.7,19.7,58.08,22.15,17.28,69.3,26.55,0.47,0.29,2.5,0.98,1.469140663,72.84776265,41616,13.1
1125,AL,Tuscaloosa,52557,26064,20.9,16.8,147.27,21.47,10.81,65.04,29.49,1.18,0.23,3.06,1.08,3.662717675,63.15091394,194656,9.2
1127,AL,Walker,45434,22772,24.7,17.9,84.71,22.54,16.25,90.4,5.8,0.28,0.35,1.95,1.24,1.400151954,76.07045854,67023,12.7
1129,AL,Washington,44424,22776,25.8,17.6,16.28,25.5,14.73,65.16,24.8,0.1,7.93,0.86,1.18,1.05149312,83.80223073,17581,14.2
1131,AL,Wilcox,25385,16584,50.6,33.4,13.13,26.99,15.01,26.65,72.15,0.03,0.12,0.62,0.44,0.536589879,64.95793901,11670,26.3
1133,AL,Winston,41156,21799,27.6,18.6,39.94,21.64,17.7,94.91,0.47,0.24,0.57,2.61,1.44,1.084816754,78.97479528,24484,16
2013,AK,Aleutians East,70081,32510,12.5,15.5,0.45,11.81,4.93,13.53,6.75,35.43,27.67,12.26,4.87,32.64233577,61.86046512,3141,5.6
2016,AK,Aleutians West,82633,37070,8.1,10,1.27,14.66,3.47,31.38,5.72,28.32,15.12,13.06,5.59,39.65217391,28.1462585,5561,5.1
2020,AK,Anchorage,82113,39839,12.1,9.5,171.19,25.97,7.24,62.64,5.25,7.95,7.55,7.56,8.1,10.69460204,60.85670835,291826,6.6
2050,AK,Bethel,44304,19760,41.2,32.7,0.42,36.55,6.12,10.9,0.38,0.93,82.62,1.06,4.19,2.034368071,61.0794208,17013,14.6
2060,AK,Bristol Bay,77257,45259,15.2,11.2,1.98,22.57,8.32,47.74,0,0.8,33.1,2.41,16.75,1.91011236,52.85285285,997,9.7
2068,AK,Denali,75477,34956,7.3,6.9,0.14,22.51,7.5,88.39,0.55,1.04,3.5,2.3,4.38,10.1702509,78.09076682,1826,11.9
2070,AK,Dillingham,54524,25334,31.6,22,0.26,32.91,7.57,17.64,0.23,0.66,70.79,2.08,9.04,2.874371859,60.28169014,4847,10.1
2090,AK,Fairbanks North Star,74268,36374,9.4,8.6,13.3,25.62,6.53,74.05,4.26,2.57,6.83,5.79,6.84,5.153883977,58.50792868,97581,6.6
2100,AK,Haines,58943,33521,16.4,10.5,1.08,19.9,13.76,82.22,0.36,0.52,9.05,1.87,5.86,6.552819698,67.44639376,2508,10.6
2105,AK,Hoonah-Angoon,51188,35355,27.6,17.2,0.29,19.72,13.4,46.19,0.37,0.56,39.53,3.58,10.19,6.519699812,73.84230288,2150,14
2110,AK,Juneau ,79173,43276,8.5,7.3,11.58,23.46,8.43,67.35,0.83,6.01,11.3,5.08,9.49,8.920507269,64.00447249,31275,5.9
2122,AK,Kenai Peninsula,65439,33820,14.5,12.4,3.45,23.67,11.33,82.81,0.45,1.11,7.17,2.96,5.61,3.119203023,73.28089784,55400,10
2130,AK,Ketchikan Gateway,68309,34900,12.5,9.1,2.77,23.94,10.14,66.17,0.56,6.95,13.59,3.99,9.28,8.396117068,60.82222639,13477,8.7
2150,AK,Kodiak Island,74109,32516,9.9,8.2,2.08,28.65,6.73,52.51,0.63,19.28,12.94,7.33,7.63,19.39336215,54.99656986,13592,7.4
2158,AK,Kusilvak,32728,12578,47.4,35.1,0.44,41.57,5.42,2.67,0.01,0.23,94.95,0.09,2.02,1.085630642,74.29078014,7459,20.4
2164,AK,Lake and Peninsula,49403,24571,23.7,18.2,0.07,30.17,7.79,22.19,0.55,0.37,64.01,2.64,10.06,2.836363636,69.17647059,1631,14.4
2170,AK,Matanuska-Susitna,74649,30943,11.8,10.4,3.62,28.9,7.94,82.79,0.92,1.21,5.32,3.71,6.45,3.60028609,76.89368179,88995,9.4
2180,AK,Nome,55318,22293,26.9,22,0.41,34.33,6.35,15.92,0.28,0.93,75.59,1.21,6.18,2.871536524,60.31304348,9492,12.6
2185,AK,North Slope,89276,49903,15.2,11.1,0.11,23.87,4.26,32.44,0.97,4.39,53.51,2.64,5.23,5.858936409,50.2543235,9430,8
2188,AK,Northwest Arctic,59337,23230,27.7,21.1,0.21,35.29,6.05,11.03,0.47,0.56,81.11,0.77,5.96,1.254202224,55.59139785,7523,13.4
2195,AK,Petersburg,66075,33227,9.5,7.2,1.16,23.36,11.48,69.44,0.39,2.52,15.81,3.41,8.55,11.02918587,68.29059829,3815,7.9
2198,AK,Prince of Wales-Hyder,49356,27236,23.4,16.5,1.42,25.62,10.06,49.58,0.31,0.38,38.95,2.28,8.53,2.687673772,72.83531409,5559,10.5
2220,AK,Sitka ,71825,38423,8.8,7.7,3.09,23.53,11.35,63.52,0.48,5.73,16.24,4.92,9.81,7.930876631,57.90508284,8881,6.3
2230,AK,Skagway,74635,39842,8.9,4.3,2.14,15.7,9.09,90.08,0,0.52,3.51,2.17,4.03,6.786050895,51.5,968,14.5
2240,AK,Southeast Fairbanks,63527,32409,17.7,13.4,0.28,26.31,9.45,78.75,1.01,0.91,11.34,3.33,4.88,9.889470622,73.55524734,7029,11.9
2261,AK,Valdez-Cordova,68528,38507,12.1,9.7,0.28,24.37,8.28,72.11,0.47,3.63,13.18,3.62,7.2,6.332652403,73.10054963,9636,9.4
2275,AK,Wrangell ,57832,31489,16,11.6,0.93,21.95,15.79,71.72,0.17,1.35,16.08,1.56,9.41,5.072463768,68.34264432,2369,8
2282,AK,Yakutat ,59523,31878,15.3,13.1,0.09,24.47,9.67,40.48,0.3,4.08,35.5,2.57,15.41,7.837445573,62.5,662,10.8
2290,AK,Yukon-Koyukuk,38912,22386,31.4,23.7,0.04,27.77,10.18,21.8,0.16,0.25,70.99,1.18,5.62,1.421975993,71.66841553,5588,17.2
4000,AZ,Arizona,59079,29265,20.4,14.1,56.27,25.49,13.8,57.82,3.74,2.67,4.03,29.65,3.42,13.43270927,63.62417304,6392017,10.4
4001,AZ,Apache,33652,14499,47.3,37.3,6.39,31.68,11.56,20.37,0.22,0.26,71.81,5.75,1.99,1.66522189,78.39176269,71518,16.4
4003,AZ,Cochise,49164,25436,22.8,15.1,21.3,23.03,17.27,58.48,3.76,1.83,0.75,32.39,4.02,11.00499687,69.16954315,131346,9.3
4005,AZ,Coconino,60187,26387,17.3,15.9,7.22,23.65,8.87,55.22,1.11,1.33,26.49,13.51,3.06,4.844633675,60.57407564,134421,9.9
4007,AZ,Gila,43585,22939,33.6,20.4,11.26,21.4,23.23,65.86,0.36,0.48,14.21,17.89,2,3.760299625,73.85756403,53597,12.5
4009,AZ,Graham,50157,18113,24.4,20.2,8.05,28.41,11.45,52.35,1.7,0.52,13.63,30.41,2.82,3.624699702,69.25431274,37220,12.9
4011,AZ,Greenlee,65818,25349,11.7,10.5,4.58,29.19,12.04,48.05,0.94,0.52,1.68,47.88,3.79,3.188131313,49.17829457,8437,16.4
4012,AZ,La Paz,37350,21845,31.8,23.7,4.55,17.95,32.62,62.74,0.56,0.44,10.74,23.46,3.71,10.98014589,74.28186715,20489,10.2
4013,AZ,Maricopa,65234,31697,18.2,12.3,414.9,26.4,12.12,58.68,4.65,3.36,1.55,29.57,3.45,14.87912423,61.35798581,3817117,9.5
4015,AZ,Mohave,45129,24829,26.9,16.8,15.04,20.61,23.31,79.61,0.86,1.01,1.89,14.77,2.74,6.7396537,68.63777271,200186,13
4017,AZ,Navajo,40650,18333,40.2,28.5,10.8,29.76,13.25,43.91,0.78,0.5,42.39,10.77,2.46,2.888551585,69.05862179,107449,14.7
4019,AZ,Pima,53395,28480,22.2,16.2,106.7,22.99,15.43,55.26,3.17,2.51,2.4,34.56,3.7,12.96775003,62.39003061,980263,9.3
4021,AZ,Pinal,58848,23653,17.5,12.9,70.03,26.53,13.86,58.68,4.26,1.63,4.63,28.47,3.81,9.187531717,74.38121877,375770,10.7
4023,AZ,Santa Cruz,40545,20324,36,24.4,38.34,30.7,13.13,15.95,0.19,0.5,0.24,82.82,2.01,32.12261721,66.18276086,47420,15.2
4025,AZ,Yavapai,48758,28829,19.2,13.2,25.98,19.08,24.06,81.96,0.52,0.81,1.33,13.61,2.54,6.25698324,71.92704699,211033,10.7
4027,AZ,Yuma,44116,21178,28.3,19.5,35.5,28.19,15.66,35.26,1.62,1.04,1,59.72,3.84,26.70464661,67.0852711,195751,25.1
5001,AR,Arkansas,43887,24714,24.4,17.9,19.24,23.27,16.38,71.04,24.37,0.48,0.16,2.7,1.31,0.744868682,63.70736787,19019,18.6
5003,AR,Ashley,41127,22052,28.8,19.6,23.62,24.39,16.22,68.19,25.71,0.18,0.24,4.89,1.13,2.70730876,73.67024637,21853,10.1
5005,AR,Baxter,39686,26004,23,15.1,74.89,18.08,28.09,95.96,0.14,0.39,0.52,1.66,1.45,1.783158252,75.82471421,41513,9.4
5007,AR,Benton,68978,32624,12.1,8.6,261.21,27.94,12.19,76.63,1.2,2.82,1.55,15.49,2.67,11.3410302,66.37973986,221339,6.6
5009,AR,Boone,44482,23998,21.5,14.8,62.52,23.26,18.08,95.22,0.17,0.41,0.67,1.83,1.75,0.965458056,71.54001345,36903,7.8
5011,AR,Bradley,37729,22411,29.8,21.7,17.73,23.3,17.74,58.01,27.52,0.22,0.13,13.17,1.35,6.69528681,62.50826537,11508,10.8
5013,AR,Calhoun,44969,24509,21.1,15.7,8.54,20.53,17.19,73.38,22.17,0.2,0.19,2.83,1.4,0.576701269,83.57438017,5368,8.8
5015,AR,Carroll,45023,24185,24.8,16.1,43.56,22.53,18.69,84.03,0.27,0.58,0.82,12.71,2.26,8.588231075,75.97885494,27446,7.3
5017,AR,Chicot,31787,21843,44.1,31.4,18.31,23.08,18.21,40.35,53.79,0.45,0.19,4.59,0.78,2.069092924,64.27576602,11800,12.3
5019,AR,Clark,45408,21571,26.4,19.9,26.55,19.48,14.83,70.35,23.34,0.52,0.37,4.03,1.5,2.796515524,62.68077601,22995,8.6
5021,AR,Clay,37687,20353,29.3,20.7,25.15,22.32,20.02,96.85,0.35,0.11,0.25,1.35,1.26,0.763561516,69.46126378,16083,11
5023,AR,Cleburne,44902,26620,23.8,14.6,46.9,19.88,23.56,95.86,0.26,0.2,0.49,1.99,1.41,1.426872771,74.57832448,25970,8.6
5025,AR,Cleveland,47600,23538,21,15.5,14.54,24.76,16.3,85.1,12.12,0.12,0.26,1.67,0.75,1.604668125,75.39489672,8689,8.4
5027,AR,Columbia,40909,21372,27.6,22.4,32.05,22.78,16,59.24,36.68,0.7,0.25,2.17,1.04,1.975556672,68.74581567,24552,10
5029,AR,Conway,44565,23750,26.5,17.9,38.52,24.19,16.89,82.42,11.17,0.36,0.69,3.56,1.98,2.267291687,68.27138643,21273,9.7
5031,AR,Craighead,45615,26432,24.9,17.9,136.37,25.03,12.17,79.59,13.03,1.11,0.29,4.43,1.76,4.160793181,57.46323529,96443,7.4
5033,AR,Crawford,47363,23851,22.8,16,104.45,26.39,13.29,86.8,1.12,1.41,2.15,6.07,2.86,3.732872327,76.7140627,61948,8.2
5035,AR,Crittenden,42606,21882,29,19.2,83.48,29.09,10.76,45.24,50.99,0.59,0.24,1.99,1.09,1.654663049,57.96011943,50902,10.5
5037,AR,Cross,41214,24486,27.6,18,28.99,25.15,15.44,74.67,22.19,0.46,0.26,1.49,1.05,0.423579245,67.43352256,17870,8.3
5039,AR,Dallas,37259,19401,34.2,21.3,12.16,23.57,18.16,54.13,41.84,0.12,0.39,2.32,1.26,0.87459634,67.9195516,8116,12.3
5041,AR,Desha,36132,18475,36.1,24.3,16.93,25.96,15.14,46.76,47.48,0.33,0.26,4.44,0.91,3.937074115,59.38172569,13008,11.1
5043,AR,Drew,42494,23005,27.3,19.5,22.34,23.56,14.78,68,27.76,0.49,0.23,2.45,1.15,1.189060642,68.25306355,18509,10.9
5045,AR,Faulkner,53882,26163,17.2,15.4,174.78,24.5,9.99,82.42,10.15,1.12,0.54,3.92,2,3.203012678,62.62614809,113237,7.2
5047,AR,Franklin,43696,20262,23.2,18.3,29.77,24.45,16.59,93.78,0.68,0.89,1.01,2.05,1.69,1.782902137,72.47058824,18125,7.7
5049,AR,Fulton,35630,19413,32.8,20.6,19.81,21.22,22.39,96.41,0.32,0.23,0.65,0.79,1.67,1.23568663,78.18,12245,7.8
5051,AR,Garland,43610,26791,35.4,20.4,141.67,20.92,20.93,83.96,7.86,0.72,0.55,4.81,2.31,3.484373728,67.56655136,96024,8.5
5053,AR,Grant,52050,25907,18.3,13.1,28.26,24.17,14.51,94.11,2.16,0.26,0.42,2.2,1.06,1.028419772,79.89675516,17853,7.1
5055,AR,Greene,46512,22874,23.5,16.5,72.86,25.16,14.34,95.43,0.55,0.25,0.46,2.14,1.34,0.667817045,67.74097992,42090,9.7
5057,AR,Hempstead,38682,20168,30.9,20.6,31.08,26,15.02,56.48,29.29,0.36,0.34,12,1.91,5.431919339,68.66139757,22609,9.3
5059,AR,Hot Spring,47205,21064,29.7,18.7,53.52,23.35,15.69,84.14,10.76,0.28,0.44,2.79,1.74,1.33353222,75.69685707,32923,8.6
5061,AR,Howard,40199,24590,27.3,17.3,23.43,26.27,15.26,67.39,20.4,0.61,0.68,9.78,1.27,5.795802524,68.52433281,13789,7.8
5063,AR,Independence,45596,23426,20.3,14.5,47.97,23.99,15.64,89.81,1.93,0.75,0.39,5.84,1.53,3.051202233,72.12643678,36647,8.8
5065,AR,Izard,37828,20501,27.9,18.7,23.59,19.17,23.58,94.96,1.28,0.28,0.74,1.52,1.3,1.85854414,79.10477322,13696,10.1
5067,AR,Jackson,36573,19848,30.4,25.6,28.39,20.75,15.87,78.79,16.6,0.29,0.48,2.42,1.49,0.534107402,69.35192781,17997,11.9
5069,AR,Jefferson,38596,20925,33.8,22.2,88.93,23.8,13.24,41.39,54.87,0.77,0.26,1.57,1.21,1.570487334,62.44949401,77435,10.4
5071,AR,Johnson,39381,19681,33.5,22.2,38.71,24.78,14.68,83.51,1.32,0.69,0.82,12.11,1.93,9.322581872,71.59183673,25540,8.2
5073,AR,Lafayette,35527,26005,34.8,22.8,14.47,23.23,19.4,59.95,37.11,0.34,0.14,1.71,0.8,1.778741866,76.63518713,7645,9.9
5075,AR,Lawrence,40308,20451,26.8,17.7,29.64,22.92,18.15,96.74,0.77,0.13,0.35,0.91,1.18,0.881876537,66.74322462,17415,9.5
5077,AR,Lee,28080,15771,50.9,43,17.3,20.72,15.42,41.44,55.07,0.39,0.38,1.61,1.16,0.925728878,57.69689737,10424,8.6
5079,AR,Lincoln,44951,13636,27.1,27.5,25.17,19.41,12.44,65.77,29.79,0.14,0.25,3.2,0.99,1.854691493,74.59815547,14134,9.4
5081,AR,Little River,43559,26216,24.1,16,24.75,23.82,17.11,74.64,19.04,0.3,1.41,2.71,2,0.297978578,72.31617647,13171,7.7
5083,AR,Logan,41471,22221,29.5,18.6,31.57,24.56,17.19,92.19,1.27,1.61,1.02,2.28,1.83,1.820103875,71.77457467,22353,8.6
5085,AR,Lonoke,56651,26222,15.9,11.9,88.69,27.55,11.15,87.93,5.94,0.77,0.48,3.29,1.81,2.143866161,68.87747506,68356,6.8
5087,AR,Madison,42674,23875,26.5,18.4,18.84,24.18,15.6,91.95,0.17,0.52,1.09,4.83,1.72,3.520776313,78.36965295,15717,7.1
5089,AR,Marion,36581,19710,32,18.7,27.89,17.91,23.8,95.86,0.17,0.22,0.59,1.72,1.6,1.216693028,78.87239466,16653,10.1
5091,AR,Miller,42162,22938,32.7,21.9,69.47,24.27,13.76,70.62,24.36,0.45,0.64,2.39,1.7,1.597385681,63.71507046,43462,5.8
5093,AR,Mississippi,36718,20879,35.9,25.7,51.61,28.19,12.23,60.47,33.91,0.49,0.26,3.65,1.5,1.699703486,56.40099479,46480,12.5
5095,AR,Monroe,32922,22274,38.9,26,13.42,22.58,18.91,55.82,40.67,0.44,0.36,1.62,1.18,0.662160298,59.95189417,8149,9.2
5097,AR,Montgomery,38318,22347,30.8,18.8,12.16,21.06,22.41,92.82,0.18,0.52,0.79,3.81,1.99,3.358167464,82.63759638,9487,8.8
5099,AR,Nevada,37626,18618,30,21.3,14.56,23.69,17.65,65.14,30.65,0.26,0.31,2.45,1.36,0.592417062,68.05933999,8997,10
5101,AR,Newton,36078,18907,32.9,17.4,10.15,20.84,20.42,94.77,0.06,0.26,1.01,1.69,2.18,0.688073394,88.20282856,8330,6.9
5103,AR,Ouachita,37624,21520,32.7,23.3,35.64,23.53,17.04,56.3,39.95,0.36,0.31,1.56,1.61,0.564174894,68.16509199,26120,9.6
5105,AR,Perry,45342,21699,23.7,14.7,18.94,23,16.73,93.62,1.88,0.16,0.56,2.36,1.63,0.532842472,80.09708738,10445,8.9
5107,AR,Phillips,29945,18402,47.9,35.4,31.28,28.1,14.96,34.63,62.75,0.29,0.18,1.32,0.95,0.562151939,48.19951987,21757,10.5
5109,AR,Pike,41534,21919,27.9,17.8,18.8,24.68,17.38,88.24,2.9,0.49,0.56,6.44,1.64,4.071058475,77.18073971,11291,9.1
5111,AR,Poinsett,37370,19413,35.2,23.7,32.41,24.24,15.86,89.01,7.18,0.18,0.23,2.21,1.34,0.648540783,63.47356151,24583,9.3
5113,AR,Polk,39048,20176,29.7,20,24.09,23.82,19.48,89.77,0.26,0.43,1.68,5.76,2.31,4.538015176,75.78010726,20662,7.5
5115,AR,Pope,45788,22110,20.4,16,76,23.06,13.14,86.9,2.83,0.97,0.64,6.75,2.21,5.224373075,68.39756054,61754,7.8
